#cubename 	 field 	band  f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X5ad_X89f.cube_2.J1957-3845_B9.image 	 J1957-3845 9	 679.0023875 	 680.9867625 	 6898.75199509
uid___A001_X5ad_X987.cube_0.J1924-2914_B6.image 	 J1924-2914 6	 221.16537891 	 220.21225391 	 3259.87199688
uid___A001_X5ad_X987.cube_5.J1924-2914_B6.image 	 J1924-2914 6	 231.532497952 	 233.438747952 	 3259.87199688
uid___A001_X5ad_Xb57.cube_01.J1256-0547_B6.image 	 J1256-0547 6	 226.984375 	 223.015625 	 2519.99999905
uid___A001_X5ad_Xb57.cube_23.J1256-0547_B6.image 	 J1256-0547 6	 239.015625 	 242.984375 	 2519.99999905
uid___A001_X5ad_Xea5.cube_01.J0040-3243_B4.image 	 J0040-3243 4	 138.781928889 	 134.797553889 	 3528.00000191
uid___A001_X5ad_Xea5.cube_01.J2357-5311_B4.image 	 J2357-5311 4	 138.781928889 	 134.797553889 	 4205.3759985
uid___A001_X5ad_Xea5.cube_23.J0040-3243_B4.image 	 J0040-3243 4	 146.880553889 	 150.693053889 	 3528.00000191
uid___A001_X5ad_Xea5.cube_23.J2357-5311_B4.image 	 J2357-5311 4	 146.880553889 	 150.693053889 	 4205.3759985
uid___A001_X8e_Xe.cube_01.J2148+0657_B3.image 	 	 J2148+0657 3	 88.0440355579 	 84.1690355579 	 2975.71199799
uid___A001_X8e_Xe.cube_23.J2148+0657_B3.image 	 	 J2148+0657 3	 96.1063508967 	 100.043850897 	 2975.71199799
uid___A001_Xa0_X107.cube_1.J1342-2900_B7.image 	 	 J1342-2900 7	 343.274756046 	 345.243506046 	 2807.80800152
uid___A001_Xa0_X11e8.cube_01.J0510+1800_B7.image 	 J0510+1800 7	 342.794720337 	 346.732220337 	 3777.69600201
uid___A001_Xa0_X11e8.cube_23.J0510+1800_B7.image 	 J0510+1800 7	 334.763470337 	 330.794720337 	 3777.69600201
uid___A001_Xa0_X12ed.cube_02.J0334-4008_B9.image 	 J0334-4008 9	 665.673306603 	 669.485806603 	 7066.7519989
uid___A001_Xa0_X12ed.cube_1.J0334-4008_B9.image 	 J0334-4008 9	 655.051806927 	 653.067431927 	 7066.7519989
uid___A001_Xa0_X1808.cube_1.J0423-0120_B7.image 	 J0423-0120 7	 331.505979799 	 329.646604799 	 2511.74399947
uid___A001_Xa0_X2b5.cube_01.J0334-4008_B6.image 	 J0334-4008 6	 215.1921875 	 211.2078125 	 2827.87199974
uid___A001_Xa0_X2b5.cube_23.J0334-4008_B6.image 	 J0334-4008 6	 227.2078125 	 231.1921875 	 2827.87199974
uid___A001_Xa0_X54.cube_0.J1651+0129_B7.image 	 	 J1651+0129 7	 345.397061903 	 347.381436903 	 2661.50399971
uid___A001_Xa0_X54.cube_1.J1651+0129_B7.image 		 J1651+0129 7	 343.730061903 	 345.714436903 	 2661.50399971
uid___A001_Xa0_X54.cube_23.J1651+0129_B7.image 	 	 J1651+0129 7	 335.63193838 	 331.78818838 	 2661.50399971
uid___A001_Xa0_X83d.cube_01.J1245-1616_B7.image 	 J1245-1616 7	 336.719234331 	 332.844234331 	 3158.78399849
uid___A001_Xa0_X83d.cube_23.J1245-1616_B7.image 	 J1245-1616 7	 344.905659599 	 348.530659599 	 3158.78399849
uid___A001_Xa0_Xe71.cube_01.J1924-2914_B7.image 	 J1924-2914 7	 345.683088177 	 341.933088177 	 7573.15200043
uid___A001_Xa0_Xe71.cube_23.J1924-2914_B7.image 	 J1924-2914 7	 353.870588177 	 357.667463177 	 7573.15200043
